WKC,GMN,Wijknaam,YEAR,Cluster_Reworked
WK191606,Leidschendam-Voorburg, Wijk 06 Leidschendam-Zuid,2015,2
WK191607,Leidschendam-Voorburg, Wijk 07 Damsigt en omgeving,2015,2
WK191608,Leidschendam-Voorburg, Wijk 08 Damlaan,2015,2
WK191609,Leidschendam-Voorburg, Wijk 09 De Rietvink,2015,2
WK191612,Leidschendam-Voorburg, Wijk 12 Prinsenhof,2015,2
WK191613,Leidschendam-Voorburg, Wijk 13 Raadhuiskwartier,2015,2
WK051820,'s-Gravenhage, Wijk 20 Valkenboskwartier,2015,3
WK051821,'s-Gravenhage, Wijk 21 Regentessekwartier,2015,3
WK051822,'s-Gravenhage, Wijk 22 Zeeheldenkwartier,2015,3
WK051826,'s-Gravenhage, Wijk 26 Bezuidenhout,2015,3
WK051827,'s-Gravenhage, Wijk 27 Stationsbuurt,2015,3
WK051828,'s-Gravenhage, Wijk 28 Centrum,2015,3
WK051831,'s-Gravenhage, Wijk 31 Rustenburg en Oostbroek,2015,3
WK051838,'s-Gravenhage, Wijk 38 Laakkwartier en Spoorwijk,2015,3
WK051839,'s-Gravenhage, Wijk 39 Binckhorst,2015,3
WK051840,'s-Gravenhage, Wijk 40 Wateringse Veld,2015,3
WK051842,'s-Gravenhage, Wijk 42 Ypenburg,2015,3
WK051844,'s-Gravenhage, Wijk 44 Leidschenveen,2015,3
WK051829,'s-Gravenhage, Wijk 29 Schildersbuurt,2015,1
WK051830,'s-Gravenhage, Wijk 30 Transvaalkwartier,2015,1
WK051833,'s-Gravenhage, Wijk 33 Bouwlust en Vrederust,2015,1
WK051834,'s-Gravenhage, Wijk 34 Morgenstond,2015,1
WK051835,'s-Gravenhage, Wijk 35 Zuiderpark,2015,1
WK051836,'s-Gravenhage, Wijk 36 Moerwijk,2015,1
WK051837,'s-Gravenhage, Wijk 37 Groente- en Fruitmarkt,2015,1
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2016,3
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2016,3
WK051805,'s-Gravenhage, Wijk 05 Archipelbuurt,2016,3
WK051809,'s-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2016,3
WK051811,'s-Gravenhage, Wijk 11 Duinoord,2016,3
WK051812,'s-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2016,3
WK051819,'s-Gravenhage, Wijk 19 Vruchtenbuurt,2016,3
WK051820,'s-Gravenhage, Wijk 20 Valkenboskwartier,2016,3
WK051821,'s-Gravenhage, Wijk 21 Regentessekwartier,2016,3
WK051822,'s-Gravenhage, Wijk 22 Zeeheldenkwartier,2016,3
WK051823,'s-Gravenhage, Wijk 23 Willemspark,2016,3
WK051826,'s-Gravenhage, Wijk 26 Bezuidenhout,2016,3
WK051827,'s-Gravenhage, Wijk 27 Stationsbuurt,2016,3
WK051828,'s-Gravenhage, Wijk 28 Centrum,2016,3
WK051831,'s-Gravenhage, Wijk 31 Rustenburg en Oostbroek,2016,3
WK051839,'s-Gravenhage, Wijk 39 Binckhorst,2016,3
WK051840,'s-Gravenhage, Wijk 40 Wateringse Veld,2016,3
WK051842,'s-Gravenhage, Wijk 42 Ypenburg,2016,3
WK051844,'s-Gravenhage, Wijk 44 Leidschenveen,2016,3
WK060301,Rijswijk, Wijk 01,2016,3
WK060308,Rijswijk, Wijk 08,2016,3
