%_Chronic_Hartfalen_patients,%_CHOL_Medication_user,%_HVZ_Medication_user,%_Above80,%_DIAB_Medication_user,%_Unemployment_benefit_user,%_Debt_Mortgage,UniqueMed_Count_MEAN,%_WLZ_user,%_WMO_user,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC,Total_Population,YEAR,Total cost GP care
0.006400226260638362,0.10416998219643632,0.21020931694346437,0.025051834720448793,0.04942413114992251,0.001897185551534294,0.37790421214316955,3.8900615207083717,0.031041688464250282,0.06671970199139755,173.42050158097888,203.21834926486736, Wijk 40 Wateringse Veld,WK051840,25339.31313131313,2026.0,4394356.392949807
0.0060984142819672914,0.10601267433393402,0.21287236767670525,0.02513615775060601,0.05040793210728205,0.0017191342884994394,0.3858435193024157,3.8932718975948566,0.03349808627931587,0.07189444476100411,176.1460802332479,207.64394422704945, Wijk 40 Wateringse Veld,WK051840,25658.060606060608,2027.0,4519566.802144689
0.00583933141421698,0.10802687207443246,0.2155560129665009,0.025236254545819025,0.0513899355810159,0.0016721111773728018,0.39706944488433227,3.898617402265756,0.036289891056623745,0.07768626168814347,178.98059295756713,212.08875290332378, Wijk 40 Wateringse Veld,WK051840,25978.63636363636,2028.0,4649671.740592651
0.00562297765738742,0.1102125754179316,0.21826025281285139,0.025352125106087836,0.052370141571124074,0.0017561162181543855,0.4115819888889192,3.9060980347210696,0.03941710279617389,0.0840951527728156,181.92403975393665,216.55277529369033, Wijk 40 Wateringse Veld,WK051840,26301.040404040406,2029.0,4784791.520034541
0.005449353011478614,0.11256978436443146,0.22098508721575663,0.025483769431412447,0.053348550077606555,0.0019711494108441852,0.42938115131617655,3.9157137949607983,0.042879721497966324,0.09112111801502051,184.97642062235644,221.03601139814913, Wijk 40 Wateringse Veld,WK051840,26625.272727272728,2030.0,4925047.647184956
0.0,0.049323066258550013,0.10851996739093507,0.0,0.0,0.0,0.27098749356813867,3.491934639078441,-1.734723475976807e-18,0.055290323838710825,138.2056347605777,142.09114314273165, Wijk 41 Hoornwijk,WK051841,490.0,2021.0,67720.76103268308
0.0,0.03672735121325425,0.08816505511333667,0.0,0.0,0.0,0.25775258045760174,3.341211472129163,-1.734723475976807e-18,0.05090983996068359,134.81267073585835,143.82658657385568, Wijk 41 Hoornwijk,WK051841,540.3333333333334,2022.0,72843.77975427547
0.0,0.024853439968941182,0.06850802340409778,0.0,0.0,0.0,0.24676440082058224,3.1987514508008683,-1.734723475976807e-18,0.04857992021777572,132.06283293646726,145.5030918676136, Wijk 41 Hoornwijk,WK051841,586.8484848484849,2023.0,77500.87341356439
0.0,0.013701332525610788,0.049548872263218524,0.0,0.0,0.0,0.23802295465708018,3.0645545750935583,-1.734723475976807e-18,0.048300564609987204,129.95612136240447,147.12065902400536, Wijk 41 Hoornwijk,WK051841,629.5454545454546,2024.0,81813.2854940592
0.0,0.003271028883263097,0.031287601690698774,0.0,0.0,0.0,0.2315282419670956,2.9386208450072324,0.0,0.05007177313731806,128.49253601366996,148.67928804303105, Wijk 41 Hoornwijk,WK051841,668.4242424242424,2025.0,85887.52604210703
0.0,-0.006437470958101918,0.01372421168653859,0.0,0.0,0.0,0.22728026275062843,2.8209502605418906,-1.734723475976807e-18,0.053893545799768294,127.67207689026371,150.1789789246906, Wijk 41 Hoornwijk,WK051841,703.4848484848485,2026.0,89815.3716668931
0.0,-0.015424166998484243,-0.0031412977492620564,0.0,0.0,0.0,0.22527901700767872,2.711542821697533,-3.469446951953614e-18,0.059765882597337866,127.49474399218575,151.61973166898403, Wijk 41 Hoornwijk,WK051841,734.7272727272727,2027.0,93673.86554044047
0.0,-0.023689059237883905,-0.01930892661670322,0.0,0.0,0.0,0.22552450473824642,2.6103985284741595,0.0,0.06768878353002683,127.96053731943607,153.00154627591135, Wijk 41 Hoornwijk,WK051841,762.1515151515152,2028.0,97525.31739761021
0.0,-0.031232147676300823,-0.03477867491578465,0.0,0.0,0.0,0.2280167259423316,2.5175173808717703,-1.734723475976807e-18,0.07766224859783515,129.06945687201468,154.32442274547256, Wijk 41 Hoornwijk,WK051841,785.757575757576,2029.0,101417.30353610126
0.0,-0.038053432313735105,-0.04955054264650674,0.0,0.0,0.0,0.23275568061993424,2.432899378890365,-1.734723475976807e-18,0.08968627780076285,130.82150264992157,155.58836107766766, Wijk 41 Hoornwijk,WK051841,805.5454545454547,2030.0,105382.66681645048
0.00568306110619719,0.09787970357976995,0.1803103360752731,0.01001798706763704,0.04033365335543083,0.00458254659717327,0.3817509533492163,3.782790699754874,0.01073597672593969,0.04063348752734061,155.68234108577684,167.2175104589843, Wijk 42 Ypenburg,WK051842,27987.0,2021.0,4357081.679967636
