%_Above80,%_Unemployment_benefit_user,%_Moving_count_above_1,%_DIAB_Medication_user,%_Lung_Cancer_patients,%_Debt_Mortgage,%_JGDHULP_user,%_WMO_user,UniqueMed_Count_MEAN,%_WLZ_user,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC,Total_Population,YEAR,Total cost GP care
0.013323885903432836,0.00192626486828441,-0.0036733808886481763,0.045138630981524853,0.00037003021966228785,0.3671758783656921,0.035733324174142544,0.052434559204409634,3.8518809344454623,0.01346807618467782,173.25674619953938,185.47061847809528, Wijk 42 Ypenburg,WK051842,28144.80808080808,2025.0,4876277.870491311
0.014038539548317568,0.0016242610431112144,-0.005543914533750614,0.04623233359866254,0.0001579336425793958,0.3718660036221908,0.03836629835726035,0.056261196198546776,3.8660471948878716,0.014455751441626917,176.63920522194863,189.71707772146598, Wijk 42 Ypenburg,WK051842,28234.297979797982,2026.0,4987283.955151185
0.014708176677411137,0.0014671670889560944,-0.007334946818154914,0.04728037709707123,-5.441883680682921e-05,0.3798757168420642,0.04184602487510935,0.060435672844177904,3.879012266578087,0.015565059626207845,180.56289430176818,193.8516956411324, Wijk 42 Ypenburg,WK051842,28344.303030303032,2027.0,5117929.392117894
0.015332797290713539,0.0014549830058190527,-0.00904647774186109,0.04828276147675094,-0.0002670272184963898,0.39120501802531255,0.046172503727689516,0.06495798914130305,3.890776149516109,0.016796000738420608,185.027813438998,197.87447223709458, Wijk 42 Ypenburg,WK051842,28474.82323232323,2028.0,5268634.280738749
0.015912401388224792,0.0015877087937000937,-0.01067850730486914,0.04923948673770165,-0.0004798915024892842,0.40585390717193565,0.051345734915000885,0.06982814508992222,3.9013388437019376,0.018148574778265206,190.03396263363817,201.78540750935244, Wijk 42 Ypenburg,WK051842,28625.858585858587,2029.0,5439885.340860861
0.016446988969944884,0.0018653444525992113,-0.01223103550717905,0.05015055287992337,-0.0006930116887855133,0.4238223842819336,0.05736571843704343,0.07504614069003535,3.9107003491355723,0.019622781745741634,195.58134188568863,205.58450145790601, Wijk 42 Ypenburg,WK051842,28797.409090909092,2030.0,5632235.912831129
0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.36690476190476184,0.0,0.0,3.824147780799517,0.0,131.0049360553909,156.16526449608546, Wijk 43 Forepark,WK051843,136.0,2021.0,17816.671303533163
0.0,0.0,0.0,-0.0011140819964349444,0.0,0.3562038451744333,0.0,0.0,3.7392939365404367,0.0,129.46535402282262,159.61626515929947, Wijk 43 Forepark,WK051843,133.62121212121212,2022.0,17299.317532231405
0.0,0.0,0.0,-0.002673796791443854,0.0,0.3486076450782332,0.0,0.0,3.67113385348626,0.0,128.05364078396443,163.17616662585087, Wijk 43 Forepark,WK051843,131.03030303030303,2023.0,16778.90735605643
0.0,0.0,0.0,-0.004679144385026736,0.0,0.3441161616161615,0.0,0.0,3.619667531636987,0.0,126.76979633881639,166.8449688957397, Wijk 43 Forepark,WK051843,128.22727272727272,2024.0,16255.345248718228
6.938893903907228e-18,1.734723475976807e-18,0.0,-0.007130124777183597,0.0,0.3427293947882182,0.0,3.469446951953614e-18,3.5848949709926177,0.0,125.61382068737849,170.62267196896596, Wijk 43 Forepark,WK051843,125.2121212121212,2025.0,15728.372941825693
0.0,0.0,3.469446951953614e-18,-0.010026737967914437,0.0,0.3444473445944033,0.0,0.0,3.566816171553152,0.0,124.58571382965071,174.50927584552963, Wijk 43 Forepark,WK051843,121.98484848484847,2026.0,15197.569424886633
6.938893903907228e-18,-1.734723475976807e-18,0.0,-0.013368983957219242,0.0,0.3492700110347167,0.0,0.0,3.5654311333185897,0.0,123.68547576563309,178.5047805254307, Wijk 43 Forepark,WK051843,118.54545454545453,2027.0,14662.350945307775
6.938893903907228e-18,0.0,0.0,-0.017156862745098034,0.0,0.35719739410915863,0.0,0.0,3.5807398562889317,0.0,122.9131064953256,182.6091860086692, Wijk 43 Forepark,WK051843,114.89393939393938,2028.0,14121.971008394756
6.938893903907228e-18,0.0,3.469446951953614e-18,-0.02139037433155079,0.0,0.3682294938177289,0.0,0.0,3.6127423404641767,0.0,122.26860601872824,186.82249229524515, Wijk 43 Forepark,WK051843,111.030303030303,2029.0,13575.520377352126
6.938893903907228e-18,0.0,3.469446951953614e-18,-0.026069518716577533,0.0,0.3823663101604276,0.0,0.0,3.6614385858443255,0.0,121.751974335841,191.1446993851585, Wijk 43 Forepark,WK051843,106.95454545454542,2030.0,13021.927073283354
0.016975419490568848,0.0034469053115927205,0.0032689482113634587,0.035408042797316235,0.00235985162391127,0.3973994500411789,0.030689817255636145,0.03304228587826225,3.5900950720846607,0.00906723508802308,158.2914080436538,163.03607842427573, Wijk 44 Leidschenveen,WK051844,21509.0,2021.0,3404689.8956109495
0.017218340619569145,0.0020940712895934147,0.0009555122090590569,0.036509157398485904,0.0019302224869051283,0.3890867332928082,0.030277527847190622,0.034969920356036986,3.5997757049675876,0.008605711374601878,159.93120294371602,166.82099295386035, Wijk 44 Leidschenveen,WK051844,21562.20707070707,2022.0,3448469.714939681
